_естибюль станции;Широта;_олгота
_роспект _етеранов;59,84188;30,251543
_енинский проспект;59,851677;30,268279
_втово;59,867369;30,261345
_ировский завод;59,879726;30,261908
_арвскаЯ;59,901169;30,274676
_алтийскаЯ;59,907245;30,299217
_ехнологический институт-1;59,916799;30,318967
_ушкинскаЯ;59,920757;30,329641
_ладимирскаЯ;59,927467;30,347875
_лощадь _осстаниЯ;59,931483;30,36036
_ернышевскаЯ;59,944558;30,359754
_лощадь _енина;59,955725;30,355957
_ыборгскаЯ;59,97111;30,347553
_еснаЯ;59,98477;30,344201
_лощадь _ужества;59,999655;30,366595
_олитехническаЯ;60,008926;30,370952
_кадемическаЯ;60,012763;30,395706
_ражданский проспект;60,03481;30,418087
_евЯткино;60,049799;30,442248
_упчино;59,829887;30,375399
_вЮзднаЯ;59,833228;30,349616
_осковскаЯ;59,852192;30,322206
_арк _обеды;59,86659;30,321712
_лектросила;59,879425;30,318658
_осковские _орота;59,891924;30,317751
_рунзенскаЯ;59,906155;30,317509
_ехнологический институт-2;59,916622;30,318505
_еннаЯ площадь;59,92709;30,320378
_евский проспект;59,935601;30,327134
_орьковскаЯ;59,956323;30,318724
_етроградскаЯ;59,966465;30,311432
_ЮрнаЯ речка;59,985574;30,300792
_ионерскаЯ;60,002576;30,296791
_дельнаЯ;60,016707;30,315421
_зерки;60,037141;30,321529
_роспект _росвещениЯ;60,051416;30,332632
_арнас;60,06715;30,334128
_риморскаЯ;59,948545;30,234526
_асилеостровскаЯ;59,942927;30,278159
_остиный _вор;59,934049;30,333772
_аЯковскаЯ;59,931612;30,35491
_лощадь _лександра _евского-1;59,924314;30,385102
_лизаровскаЯ;59,896705;30,423637
_омоносовскаЯ;59,877433;30,441951
_ролетарскаЯ;59,865275;30,47026
_бухово;59,848795;30,457805
_ыбацкое;59,830943;30,500455
_лица _ыбенко;59,907573;30,483292
_роспект _ольшевиков;59,919819;30,466908
_адожскаЯ;59,93244;30,439474
_овочеркасскаЯ;59,92933;30,412918
_лощадь _лександра _евского-2;59,92365;30,383471
_иговский проспект;59,920747;30,355245
_остоевскаЯ;59,928072;30,345746
_пасскаЯ;59,926839;30,319752
_еждународнаЯ;59,869966;30,379045
_ухарестскаЯ;59,883681;30,369673
_олковскаЯ;59,896265;30,35686
_бводный канал;59,914697;30,349361
_венигородскаЯ;59,922304;30,335784
_адоваЯ;59,927008;30,317456
_дмиралтейскаЯ;59,935877;30,314886
_портивнаЯ-1;59,952078;30,291312
_портивнаЯ-2;59,950365;30,287356
_каловскаЯ;59,961035;30,291964
_рестовский остров;59,971838;30,259427
_тараЯ _еревнЯ;59,989228;30,255169
_омендантский проспект;60,008356;30,258915
_еговаЯ ;59,5914;30,1208
_овокрестовскаЯ;59,582;30,1242
_роспект _лавы;59,5125;30,2341
_унайскаЯ;59,5023;30,244
Шушары;59,4912;30,2558
